evt_nokonoko_urouro_check_func = .text:0x805baa64; //type:function size:0x148 scope:local
str_SFX_BTL_DAMAGE_FIRE1_nok_00002664 = .rodata:0x805bd004; //type:object size:0x15 scope:local
str_SFX_BTL_DAMAGE_ICE1_nok_0000267c = .rodata:0x805bd01c; //type:object size:0x14 scope:local
str_SFX_BTL_DAMAGE_BIRIB_nok_00002690 = .rodata:0x805bd030; //type:object size:0x19 scope:local
str_S_1_nok_000026ac = .rodata:0x805bd04c; //type:object size:0x4 scope:local
str_A_2_nok_000026b0 = .rodata:0x805bd050; //type:object size:0x4 scope:local
str_D_1_nok_000026b4 = .rodata:0x805bd054; //type:object size:0x4 scope:local
str_W_1_nok_000026b8 = .rodata:0x805bd058; //type:object size:0x4 scope:local
str_R_1_nok_000026bc = .rodata:0x805bd05c; //type:object size:0x4 scope:local
str_T_1_nok_000026c0 = .rodata:0x805bd060; //type:object size:0x4 scope:local
str_btl_un_teresa_nok_000026c4 = .rodata:0x805bd064; //type:object size:0xe scope:local
str_c_teresa_nok_000026d4 = .rodata:0x805bd074; //type:object size:0x9 scope:local
str_ki_1_nok_000026e0 = .rodata:0x805bd080; //type:object size:0x5 scope:local
str_isi_A_nok_000026e8 = .rodata:0x805bd088; //type:object size:0x6 scope:local
str_isi_B_nok_000026f0 = .rodata:0x805bd090; //type:object size:0x6 scope:local
str_isigaki_nok_000026f8 = .rodata:0x805bd098; //type:object size:0x8 scope:local
str_kusa_1_nok_00002700 = .rodata:0x805bd0a0; //type:object size:0x7 scope:local
str_kusa_2_nok_00002708 = .rodata:0x805bd0a8; //type:object size:0x7 scope:local
str_kusa_3_nok_00002710 = .rodata:0x805bd0b0; //type:object size:0x7 scope:local
str_kusa_4_nok_00002718 = .rodata:0x805bd0b8; //type:object size:0x7 scope:local
str_B_nok_00002720 = .rodata:0x805bd0c0; //type:object size:0x2 scope:local
str_C_nok_00002724 = .rodata:0x805bd0c4; //type:object size:0x2 scope:local
str_bti_01_nok_00002728 = .rodata:0x805bd0c8; //type:object size:0x7 scope:local
str_stg_04_0_nok_00002730 = .rodata:0x805bd0d0; //type:object size:0x9 scope:local
str_マップstg_01_0_nok_0000273c = .rodata:0x805bd0dc; //type:object size:0xf scope:local
str_nok_01_nok_0000274c = .rodata:0x805bd0ec; //type:object size:0x7 scope:local
str_BGM_ZAKO_BATTLE1_nok_00002754 = .rodata:0x805bd0f4; //type:object size:0x11 scope:local
str_BTLNO_HEI_TEST1_nok_00002768 = .rodata:0x805bd108; //type:object size:0x10 scope:local
negone_one$374 = .data:0x805bd118; //type:object size:0x8 scope:local
neg_one$382 = .data:0x805bd120; //type:object size:0x4 scope:local
__local_PI$383 = .data:0x805bd124; //type:object size:0x4 scope:local
__local_3PIO2$385 = .data:0x805bd128; //type:object size:0x4 scope:local
one_negone$373 = .data:0x805bd130; //type:object size:0x8 scope:local
__local_PIO2$384 = .data:0x805bd138; //type:object size:0x4 scope:local
one$381 = .data:0x805bd13c; //type:object size:0x4 scope:local
negone_one$360 = .data:0x805bd140; //type:object size:0x8 scope:local
neg_one$365 = .data:0x805bd148; //type:object size:0x4 scope:local
__local_PI$366 = .data:0x805bd14c; //type:object size:0x4 scope:local
__local_3PIO2$368 = .data:0x805bd150; //type:object size:0x4 scope:local
one_negone$359 = .data:0x805bd158; //type:object size:0x8 scope:local
__local_PIO2$367 = .data:0x805bd160; //type:object size:0x4 scope:local
one$364 = .data:0x805bd164; //type:object size:0x4 scope:local
_three$localstatic4$sqrtf = .data:0x805bd168; //type:object size:0x8 scope:local
_half$localstatic3$sqrtf = .data:0x805bd170; //type:object size:0x8 scope:local
nokonoko_urouro_regl = .data:0x805bd178; //type:object size:0x184 scope:local
negone_one$374 = .data:0x805bd300; //type:object size:0x8 scope:local
neg_one$382 = .data:0x805bd308; //type:object size:0x4 scope:local
__local_PI$383 = .data:0x805bd30c; //type:object size:0x4 scope:local
__local_3PIO2$385 = .data:0x805bd310; //type:object size:0x4 scope:local
one_negone$373 = .data:0x805bd318; //type:object size:0x8 scope:local
__local_PIO2$384 = .data:0x805bd320; //type:object size:0x4 scope:local
one$381 = .data:0x805bd324; //type:object size:0x4 scope:local
negone_one$360 = .data:0x805bd328; //type:object size:0x8 scope:local
neg_one$365 = .data:0x805bd330; //type:object size:0x4 scope:local
__local_PI$366 = .data:0x805bd334; //type:object size:0x4 scope:local
__local_3PIO2$368 = .data:0x805bd338; //type:object size:0x4 scope:local
one_negone$359 = .data:0x805bd340; //type:object size:0x8 scope:local
__local_PIO2$367 = .data:0x805bd348; //type:object size:0x4 scope:local
one$364 = .data:0x805bd34c; //type:object size:0x4 scope:local
nokonoko_A_init = .data:0x805bd350; //type:object size:0x6c scope:local
nokonoko_A_regl = .data:0x805bd3bc; //type:object size:0x8 scope:local
nokonoko_A_talk = .data:0x805bd3c4; //type:object size:0xdc scope:local
nokonoko_B_init = .data:0x805bd4a0; //type:object size:0x30 scope:local
nokonoko_B_regl = .data:0x805bd4d0; //type:object size:0x4c scope:local
nokonoko_B_talk = .data:0x805bd51c; //type:object size:0xb0 scope:local
nokonoko_B_damage = .data:0x805bd5cc; //type:object size:0x48 scope:local
nokonoko_C_regl = .data:0x805bd614; //type:object size:0x4c scope:local
nokonoko_C_talk = .data:0x805bd660; //type:object size:0xb0 scope:local
nokonoko_D_talk = .data:0x805bd710; //type:object size:0xd0 scope:local
iri_15_item_tbl1 = .data:0x805bd7e0; //type:object size:0x8 scope:local
iri_15_item_tbl2 = .data:0x805bd7e8; //type:object size:0x8 scope:local
nokonoko_F_talk = .data:0x805bd7f0; //type:object size:0x4f8 scope:local
init_white = .data:0x805bdce8; //type:object size:0x60 scope:local
talk_white = .data:0x805bdd48; //type:object size:0x90 scope:local
kizayarou_regl = .data:0x805bddd8; //type:object size:0x4c scope:local
kizayarou_talk = .data:0x805bde24; //type:object size:0x170 scope:local
kizayarou_init = .data:0x805bdf94; //type:object size:0x98 scope:local
npcEnt = .data:0x805be02c; //type:object size:0x398 scope:local
bero_entry_data = .data:0x805be3c4; //type:object size:0xb4 scope:local
yado_npc = .data:0x805be478; //type:object size:0x8 scope:local
yado_map = .data:0x805be480; //type:object size:0x8 scope:local
yado_data = .data:0x805be488; //type:object size:0x4c scope:local
mise_npc = .data:0x805be4d4; //type:object size:0x8 scope:local
mise_data = .data:0x805be4dc; //type:object size:0x4c scope:local
ie_npc = .data:0x805be528; //type:object size:0x8 scope:local
ie_map = .data:0x805be530; //type:object size:0x8 scope:local
ie_data = .data:0x805be538; //type:object size:0x4c scope:local
obj_list = .data:0x805be584; //type:object size:0x30 scope:local
goods_list = .data:0x805be5b4; //type:object size:0x30 scope:local
trade_list = .data:0x805be5e4; //type:object size:0x68 scope:local
shopper_data = .data:0x805be64c; //type:object size:0x98 scope:local
kino_dt = .data:0x805be6e4; //type:object size:0x98 scope:local
first_time_camera = .data:0x805be77c; //type:object size:0x30c scope:local
hitDmgRetPoints = .data:0x805bea88; //type:object size:0xa0 scope:local
nok_00_koopa_npc_entry = .data:0x805beb28; //type:object size:0x8c scope:local
nok_00_koopa_evt = .data:0x805bebb4; //type:object size:0x1388 scope:local
nok_00_init_evt = .data:0x805bff3c; //type:object size:0x334 scope:local
negone_one$374 = .data:0x805c0270; //type:object size:0x8 scope:local
neg_one$382 = .data:0x805c0278; //type:object size:0x4 scope:local
__local_PI$383 = .data:0x805c027c; //type:object size:0x4 scope:local
__local_3PIO2$385 = .data:0x805c0280; //type:object size:0x4 scope:local
one_negone$373 = .data:0x805c0288; //type:object size:0x8 scope:local
__local_PIO2$384 = .data:0x805c0290; //type:object size:0x4 scope:local
one$381 = .data:0x805c0294; //type:object size:0x4 scope:local
negone_one$360 = .data:0x805c0298; //type:object size:0x8 scope:local
neg_one$365 = .data:0x805c02a0; //type:object size:0x4 scope:local
__local_PI$366 = .data:0x805c02a4; //type:object size:0x4 scope:local
__local_3PIO2$368 = .data:0x805c02a8; //type:object size:0x4 scope:local
one_negone$359 = .data:0x805c02b0; //type:object size:0x8 scope:local
__local_PIO2$367 = .data:0x805c02b8; //type:object size:0x4 scope:local
one$364 = .data:0x805c02bc; //type:object size:0x4 scope:local
nokonoko_G_regl = .data:0x805c02c0; //type:object size:0x4c scope:local
nokonoko_G_talk = .data:0x805c030c; //type:object size:0xb0 scope:local
nokonoko_H_regl = .data:0x805c03bc; //type:object size:0x4c scope:local
nokonoko_H_talk = .data:0x805c0408; //type:object size:0xd0 scope:local
nokonoko_I_regl = .data:0x805c04d8; //type:object size:0x4c scope:local
nokonoko_I_talk = .data:0x805c0524; //type:object size:0xb0 scope:local
open_gate = .data:0x805c05d4; //type:object size:0x374 scope:local
monban_init = .data:0x805c0948; //type:object size:0x38 scope:local
monban_talk = .data:0x805c0980; //type:object size:0xe0 scope:local
nokotarou_init = .data:0x805c0a60; //type:object size:0x68 scope:local
nokotarou_talk = .data:0x805c0ac8; //type:object size:0x90 scope:local
nokopapa_init = .data:0x805c0b58; //type:object size:0x4c scope:local
nokopapa_talk = .data:0x805c0ba4; //type:object size:0x120 scope:local
nokonoko_K_talk = .data:0x805c0cc4; //type:object size:0x114 scope:local
boss_noko_open_gate = .data:0x805c0dd8; //type:object size:0x2e0 scope:local
iri_17_item_tbl = .data:0x805c10b8; //type:object size:0x8 scope:local
boss_noko_talk = .data:0x805c10c0; //type:object size:0x580 scope:local
nokorin_init = .data:0x805c1640; //type:object size:0x78 scope:local
nokorin_talk = .data:0x805c16b8; //type:object size:0x464 scope:local
odoriko_1_talk = .data:0x805c1b1c; //type:object size:0xb0 scope:local
odoriko_1_init = .data:0x805c1bcc; //type:object size:0x84 scope:local
odoriko_2_talk = .data:0x805c1c50; //type:object size:0xb0 scope:local
odoriko_2_init = .data:0x805c1d00; //type:object size:0x84 scope:local
odoriko_3_talk = .data:0x805c1d84; //type:object size:0xb0 scope:local
odoriko_3_init = .data:0x805c1e34; //type:object size:0x84 scope:local
npcEnt = .data:0x805c1eb8; //type:object size:0x398 scope:local
bero_entry_data = .data:0x805c2250; //type:object size:0xf0 scope:local
son_npc = .data:0x805c2340; //type:object size:0x8 scope:local
son_mobj = .data:0x805c2348; //type:object size:0x8 scope:local
son_item = .data:0x805c2350; //type:object size:0x8 scope:local
son_data = .data:0x805c2358; //type:object size:0x4c scope:local
taro_npc = .data:0x805c23a4; //type:object size:0x8 scope:local
taro_map = .data:0x805c23ac; //type:object size:0x8 scope:local
taro_mobj = .data:0x805c23b4; //type:object size:0x8 scope:local
taro_item = .data:0x805c23bc; //type:object size:0x8 scope:local
taro_data = .data:0x805c23c4; //type:object size:0x4c scope:local
ie_npc = .data:0x805c2410; //type:object size:0x8 scope:local
ie_map = .data:0x805c2418; //type:object size:0x8 scope:local
ie_data = .data:0x805c2420; //type:object size:0x4c scope:local
hitDmgRetPoints = .data:0x805c246c; //type:object size:0xd0 scope:local
nokotarou_tabidachi = .data:0x805c253c; //type:object size:0x520 scope:local
nokotarou_tabidachi_init = .data:0x805c2a5c; //type:object size:0x164 scope:local
sekai_yami_npc = .data:0x805c2bc0; //type:object size:0xec scope:local
sekai_yami_evt = .data:0x805c2cac; //type:object size:0x3a8 scope:local
minnnanokoe_evt = .data:0x805c3054; //type:object size:0x680 scope:local
evt_switch_init = .data:0x805c36d4; //type:object size:0x44 scope:local
e3_talk = .data:0x805c3718; //type:object size:0x30 scope:local
epilogue_npc_entry = .data:0x805c3748; //type:object size:0x7c scope:local
epilogue_evt_sub = .data:0x805c37c4; //type:object size:0x308 scope:local
epilogue_evt = .data:0x805c3acc; //type:object size:0x250 scope:local
evt_kusa_4 = .data:0x805c3d1c; //type:object size:0x64 scope:local
evt_kusa_5 = .data:0x805c3d80; //type:object size:0x64 scope:local
evt_kusa_6 = .data:0x805c3de4; //type:object size:0x64 scope:local
kusa_data = .data:0x805c3e48; //type:object size:0x40 scope:local
nok_01_init_evt = .data:0x805c3e88; //type:object size:0x544 scope:local
negone_one$374 = .data:0x805c43d0; //type:object size:0x8 scope:local
neg_one$382 = .data:0x805c43d8; //type:object size:0x4 scope:local
__local_PI$383 = .data:0x805c43dc; //type:object size:0x4 scope:local
__local_3PIO2$385 = .data:0x805c43e0; //type:object size:0x4 scope:local
one_negone$373 = .data:0x805c43e8; //type:object size:0x8 scope:local
__local_PIO2$384 = .data:0x805c43f0; //type:object size:0x4 scope:local
one$381 = .data:0x805c43f4; //type:object size:0x4 scope:local
negone_one$360 = .data:0x805c43f8; //type:object size:0x8 scope:local
neg_one$365 = .data:0x805c4400; //type:object size:0x4 scope:local
__local_PI$366 = .data:0x805c4404; //type:object size:0x4 scope:local
__local_3PIO2$368 = .data:0x805c4408; //type:object size:0x4 scope:local
one_negone$359 = .data:0x805c4410; //type:object size:0x8 scope:local
__local_PIO2$367 = .data:0x805c4418; //type:object size:0x4 scope:local
one$364 = .data:0x805c441c; //type:object size:0x4 scope:local
unit_act_atmic_teresa = .data:0x805c4420; //type:object size:0xc4 scope:local
defence = .data:0x805c44e4; //type:object size:0x5 scope:local
defence_attr = .data:0x805c44ec; //type:object size:0x5 scope:local
regist = .data:0x805c44f4; //type:object size:0x16 scope:local
pose_table = .data:0x805c450c; //type:object size:0x38 scope:local
data_table = .data:0x805c4544; //type:object size:0x8 scope:local
parts = .data:0x805c454c; //type:object size:0x4c scope:local
init_event = .data:0x805c4598; //type:object size:0x24 scope:local
damage_event = .data:0x805c45bc; //type:object size:0x8 scope:local
phase_event = .data:0x805c45c4; //type:object size:0x8 scope:local
attack_event = .data:0x805c45cc; //type:object size:0x8 scope:local
wait_event = .data:0x805c45d4; //type:object size:0x18 scope:local
negone_one$374 = .data:0x805c45f0; //type:object size:0x8 scope:local
neg_one$382 = .data:0x805c45f8; //type:object size:0x4 scope:local
__local_PI$383 = .data:0x805c45fc; //type:object size:0x4 scope:local
__local_3PIO2$385 = .data:0x805c4600; //type:object size:0x4 scope:local
one_negone$373 = .data:0x805c4608; //type:object size:0x8 scope:local
__local_PIO2$384 = .data:0x805c4610; //type:object size:0x4 scope:local
one$381 = .data:0x805c4614; //type:object size:0x4 scope:local
negone_one$360 = .data:0x805c4618; //type:object size:0x8 scope:local
neg_one$365 = .data:0x805c4620; //type:object size:0x4 scope:local
__local_PI$366 = .data:0x805c4624; //type:object size:0x4 scope:local
__local_3PIO2$368 = .data:0x805c4628; //type:object size:0x4 scope:local
one_negone$359 = .data:0x805c4630; //type:object size:0x8 scope:local
__local_PIO2$367 = .data:0x805c4638; //type:object size:0x4 scope:local
one$364 = .data:0x805c463c; //type:object size:0x4 scope:local
unit_act_clauda = .data:0x805c4640; //type:object size:0xc4 scope:local
defence = .data:0x805c4704; //type:object size:0x5 scope:local
defence_attr = .data:0x805c470c; //type:object size:0x5 scope:local
regist = .data:0x805c4714; //type:object size:0x16 scope:local
data_table = .data:0x805c472c; //type:object size:0x8 scope:local
parts = .data:0x805c4734; //type:object size:0x4c scope:local
init_event = .data:0x805c4780; //type:object size:0x24 scope:local
damage_event = .data:0x805c47a4; //type:object size:0x8 scope:local
phase_event = .data:0x805c47ac; //type:object size:0x8 scope:local
attack_event = .data:0x805c47b4; //type:object size:0x8 scope:local
wait_event = .data:0x805c47bc; //type:object size:0x18 scope:local
negone_one$374 = .data:0x805c47d8; //type:object size:0x8 scope:local
neg_one$382 = .data:0x805c47e0; //type:object size:0x4 scope:local
__local_PI$383 = .data:0x805c47e4; //type:object size:0x4 scope:local
__local_3PIO2$385 = .data:0x805c47e8; //type:object size:0x4 scope:local
one_negone$373 = .data:0x805c47f0; //type:object size:0x8 scope:local
__local_PIO2$384 = .data:0x805c47f8; //type:object size:0x4 scope:local
one$381 = .data:0x805c47fc; //type:object size:0x4 scope:local
negone_one$360 = .data:0x805c4800; //type:object size:0x8 scope:local
neg_one$365 = .data:0x805c4808; //type:object size:0x4 scope:local
__local_PI$366 = .data:0x805c480c; //type:object size:0x4 scope:local
__local_3PIO2$368 = .data:0x805c4810; //type:object size:0x4 scope:local
one_negone$359 = .data:0x805c4818; //type:object size:0x8 scope:local
__local_PIO2$367 = .data:0x805c4820; //type:object size:0x4 scope:local
one$364 = .data:0x805c4824; //type:object size:0x4 scope:local
unit_act_kinopiko = .data:0x805c4828; //type:object size:0xc4 scope:local
defence = .data:0x805c48ec; //type:object size:0x5 scope:local
defence_attr = .data:0x805c48f4; //type:object size:0x5 scope:local
regist = .data:0x805c48fc; //type:object size:0x16 scope:local
pose_table = .data:0x805c4914; //type:object size:0x38 scope:local
data_table = .data:0x805c494c; //type:object size:0x8 scope:local
parts = .data:0x805c4954; //type:object size:0x4c scope:local
init_event = .data:0x805c49a0; //type:object size:0x24 scope:local
damage_event = .data:0x805c49c4; //type:object size:0x8 scope:local
phase_event = .data:0x805c49cc; //type:object size:0x8 scope:local
attack_event = .data:0x805c49d4; //type:object size:0x8 scope:local
wait_event = .data:0x805c49dc; //type:object size:0x18 scope:local
negone_one$374 = .data:0x805c49f8; //type:object size:0x8 scope:local
neg_one$382 = .data:0x805c4a00; //type:object size:0x4 scope:local
__local_PI$383 = .data:0x805c4a04; //type:object size:0x4 scope:local
__local_3PIO2$385 = .data:0x805c4a08; //type:object size:0x4 scope:local
one_negone$373 = .data:0x805c4a10; //type:object size:0x8 scope:local
__local_PIO2$384 = .data:0x805c4a18; //type:object size:0x4 scope:local
one$381 = .data:0x805c4a1c; //type:object size:0x4 scope:local
negone_one$360 = .data:0x805c4a20; //type:object size:0x8 scope:local
neg_one$365 = .data:0x805c4a28; //type:object size:0x4 scope:local
__local_PI$366 = .data:0x805c4a2c; //type:object size:0x4 scope:local
__local_3PIO2$368 = .data:0x805c4a30; //type:object size:0x4 scope:local
one_negone$359 = .data:0x805c4a38; //type:object size:0x8 scope:local
__local_PIO2$367 = .data:0x805c4a40; //type:object size:0x4 scope:local
one$364 = .data:0x805c4a44; //type:object size:0x4 scope:local
unit_act_kinopio = .data:0x805c4a48; //type:object size:0xc4 scope:local
defence = .data:0x805c4b0c; //type:object size:0x5 scope:local
defence_attr = .data:0x805c4b14; //type:object size:0x5 scope:local
regist = .data:0x805c4b1c; //type:object size:0x16 scope:local
pose_table = .data:0x805c4b34; //type:object size:0x38 scope:local
data_table = .data:0x805c4b6c; //type:object size:0x8 scope:local
parts = .data:0x805c4b74; //type:object size:0x4c scope:local
init_event = .data:0x805c4bc0; //type:object size:0x24 scope:local
damage_event = .data:0x805c4be4; //type:object size:0x8 scope:local
phase_event = .data:0x805c4bec; //type:object size:0x8 scope:local
attack_event = .data:0x805c4bf4; //type:object size:0x8 scope:local
wait_event = .data:0x805c4bfc; //type:object size:0x18 scope:local
negone_one$374 = .data:0x805c4c18; //type:object size:0x8 scope:local
neg_one$382 = .data:0x805c4c20; //type:object size:0x4 scope:local
__local_PI$383 = .data:0x805c4c24; //type:object size:0x4 scope:local
__local_3PIO2$385 = .data:0x805c4c28; //type:object size:0x4 scope:local
one_negone$373 = .data:0x805c4c30; //type:object size:0x8 scope:local
__local_PIO2$384 = .data:0x805c4c38; //type:object size:0x4 scope:local
one$381 = .data:0x805c4c3c; //type:object size:0x4 scope:local
negone_one$360 = .data:0x805c4c40; //type:object size:0x8 scope:local
neg_one$365 = .data:0x805c4c48; //type:object size:0x4 scope:local
__local_PI$366 = .data:0x805c4c4c; //type:object size:0x4 scope:local
__local_3PIO2$368 = .data:0x805c4c50; //type:object size:0x4 scope:local
one_negone$359 = .data:0x805c4c58; //type:object size:0x8 scope:local
__local_PIO2$367 = .data:0x805c4c60; //type:object size:0x4 scope:local
one$364 = .data:0x805c4c64; //type:object size:0x4 scope:local
unit_act_mario = .data:0x805c4c68; //type:object size:0xc4 scope:local
defence = .data:0x805c4d2c; //type:object size:0x5 scope:local
defence_attr = .data:0x805c4d34; //type:object size:0x5 scope:local
regist = .data:0x805c4d3c; //type:object size:0x16 scope:local
pose_table = .data:0x805c4d54; //type:object size:0x38 scope:local
data_table = .data:0x805c4d8c; //type:object size:0x8 scope:local
parts = .data:0x805c4d94; //type:object size:0x4c scope:local
init_event = .data:0x805c4de0; //type:object size:0x3c scope:local
damage_event = .data:0x805c4e1c; //type:object size:0x28 scope:local
phase_event = .data:0x805c4e44; //type:object size:0x8 scope:local
attack_event = .data:0x805c4e4c; //type:object size:0x14 scope:local
wait_event = .data:0x805c4e60; //type:object size:0x18 scope:local
entry_unit_data = .data:0x805c4e78; //type:object size:0x180 scope:local
battle_entry_event = .data:0x805c4ff8; //type:object size:0x2a0 scope:local
_battle_event = .data:0x805c5298; //type:object size:0x26c scope:local
_act_target_enemy = .data:0x805c5504; //type:object size:0x84 scope:local
_act_target_mario = .data:0x805c5588; //type:object size:0x68 scope:local
_act_mario_jump_attack = .data:0x805c55f0; //type:object size:0x3c0 scope:local
_act_clauda_press_attack = .data:0x805c59b0; //type:object size:0x578 scope:local
_act_clauda_breath_attack = .data:0x805c5f28; //type:object size:0x434 scope:local
_act_teresa_attack = .data:0x805c635c; //type:object size:0x2f8 scope:local
_act_atmic_teresa_press_attack = .data:0x805c6654; //type:object size:0x2f0 scope:local
negone_one$374 = .data:0x805c6948; //type:object size:0x8 scope:local
neg_one$382 = .data:0x805c6950; //type:object size:0x4 scope:local
__local_PI$383 = .data:0x805c6954; //type:object size:0x4 scope:local
__local_3PIO2$385 = .data:0x805c6958; //type:object size:0x4 scope:local
one_negone$373 = .data:0x805c6960; //type:object size:0x8 scope:local
__local_PIO2$384 = .data:0x805c6968; //type:object size:0x4 scope:local
one$381 = .data:0x805c696c; //type:object size:0x4 scope:local
negone_one$360 = .data:0x805c6970; //type:object size:0x8 scope:local
neg_one$365 = .data:0x805c6978; //type:object size:0x4 scope:local
__local_PI$366 = .data:0x805c697c; //type:object size:0x4 scope:local
__local_3PIO2$368 = .data:0x805c6980; //type:object size:0x4 scope:local
one_negone$359 = .data:0x805c6988; //type:object size:0x8 scope:local
__local_PIO2$367 = .data:0x805c6990; //type:object size:0x4 scope:local
one$364 = .data:0x805c6994; //type:object size:0x4 scope:local
unit_act_teresa = .data:0x805c6998; //type:object size:0xc4 scope:local
defence = .data:0x805c6a5c; //type:object size:0x5 scope:local
defence_attr = .data:0x805c6a64; //type:object size:0x5 scope:local
regist = .data:0x805c6a6c; //type:object size:0x16 scope:local
pose_table = .data:0x805c6a84; //type:object size:0x38 scope:local
data_table = .data:0x805c6abc; //type:object size:0x8 scope:local
parts = .data:0x805c6ac4; //type:object size:0x4c scope:local
init_event = .data:0x805c6b10; //type:object size:0x24 scope:local
damage_event = .data:0x805c6b34; //type:object size:0x8 scope:local
phase_event = .data:0x805c6b3c; //type:object size:0x8 scope:local
attack_event = .data:0x805c6b44; //type:object size:0x8 scope:local
wait_event = .data:0x805c6b4c; //type:object size:0x18 scope:local
negone_one$374 = .data:0x805c6b68; //type:object size:0x8 scope:local
neg_one$382 = .data:0x805c6b70; //type:object size:0x4 scope:local
__local_PI$383 = .data:0x805c6b74; //type:object size:0x4 scope:local
__local_3PIO2$385 = .data:0x805c6b78; //type:object size:0x4 scope:local
one_negone$373 = .data:0x805c6b80; //type:object size:0x8 scope:local
__local_PIO2$384 = .data:0x805c6b88; //type:object size:0x4 scope:local
one$381 = .data:0x805c6b8c; //type:object size:0x4 scope:local
negone_one$360 = .data:0x805c6b90; //type:object size:0x8 scope:local
neg_one$365 = .data:0x805c6b98; //type:object size:0x4 scope:local
__local_PI$366 = .data:0x805c6b9c; //type:object size:0x4 scope:local
__local_3PIO2$368 = .data:0x805c6ba0; //type:object size:0x4 scope:local
one_negone$359 = .data:0x805c6ba8; //type:object size:0x8 scope:local
__local_PIO2$367 = .data:0x805c6bb0; //type:object size:0x4 scope:local
one$364 = .data:0x805c6bb4; //type:object size:0x4 scope:local
nok_btlobject_data = .data:0x805c6bb8; //type:object size:0xf0 scope:local
nok_btlstage_data = .data:0x805c6ca8; //type:object size:0x1b4 scope:local
btlparty_nok_hei_ep = .data:0x805c6e5c; //type:object size:0x30 scope:local
btlgrp_nok_hei_ep = .data:0x805c6e8c; //type:object size:0x20 scope:local
btlgrpsel_nok_btlno_hei_test1_off = .data:0x805c6eac; //type:object size:0x18 scope:local
btlsetup_nok_tbl = .data:0x805c6ec4; //type:object size:0x88 scope:local
btl_nok_setup_no_tbl = .data:0x805c6f4c; //type:object size:0x10 scope:local
poster = .bss:0x; //type:object size:0x4 scope:local
